日期,复工指数,缺工指数,省份,序号
2月10日,0.394,0.574,全国,1
2月11日,0.38,0.57,全国,2
2月12日,0.391,0.567,全国,3
2月13日,0.399,0.562,全国,4
2月14日,0.396,0.558,全国,5
2月17日,0.445,0.548,全国,6
2月18日,0.458,0.543,全国,7
2月19日,0.473,0.537,全国,8
2月20日,0.494,0.531,全国,9
2月21日,0.518,0.524,全国,10
2月24日,0.61,0.496,全国,11
2月25日,0.61,0.485,全国,12
2月26日,0.619,0.475,全国,13
2月27日,0.62,0.466,全国,14
2月28日,0.632,0.456,全国,15
3月2日,0.709,0.423,全国,16
3月3日,0.706,0.413,全国,17
3月4日,0.711,0.404,全国,18
3月5日,0.732,0.394,全国,19
3月6日,0.743,0.383,全国,20
3月9日,0.77,0.358,全国,21
3月10日,0.793,0.35,全国,22
3月11日,0.805,0.34,全国,23
3月12日,0.803,0.329,全国,24
3月13日,0.818,0.319,全国,25
3月16日,0.858,0.291,全国,26
3月17日,0.862,0.282,全国,27
3月18日,0.868,0.273,全国,28
3月19日,0.871,0.262,全国,29
3月20日,0.894,0.253,全国,30
3月23日,0.913,0.231,全国,31
3月24日,0.911,0.225,全国,32
3月25日,0.914,0.219,全国,33
3月26日,0.896,0.211,全国,34
3月27日,0.911,0.204,全国,35
2月10日,0.213,0.859,新疆维吾尔自治区,36
2月11日,0.2,0.858,新疆维吾尔自治区,37
2月12日,0.186,0.858,新疆维吾尔自治区,38
2月13日,0.18,0.858,新疆维吾尔自治区,39
2月14日,0.178,0.858,新疆维吾尔自治区,40
2月17日,0.172,0.86,新疆维吾尔自治区,41
2月18日,0.165,0.86,新疆维吾尔自治区,42
2月19日,0.159,0.86,新疆维吾尔自治区,43
2月20日,0.16,0.86,新疆维吾尔自治区,44
2月21日,0.162,0.86,新疆维吾尔自治区,45
2月24日,0.177,0.86,新疆维吾尔自治区,46
2月25日,0.18,0.86,新疆维吾尔自治区,47
2月26日,0.193,0.86,新疆维吾尔自治区,48
2月27日,0.199,0.859,新疆维吾尔自治区,49
